Sitio,Achnanthes sp 1,Achnanthidium exiguum,Achnanthidium minutissimum,Actinocyclus cf. normanii,Actinocyclus octonarius,Actinocyclus sp 1,Actinocyclus sp 2,Actinoptychus senarius,Actinoptychus splendens,Amphora cf. indistincta,Amphora copulata/affinis,Amphora pediculus,Amphora sp 1,Amphora sp 2,Amphora sp 3,Amphora sp 4,Amphora sp 5,Anomoeoneis aff. Costata,Aulacoseira ambigua,Aulacoseira granulata,Bacillaria paxillifera,Caloneis amphisbaena,Caloneis bacillum,Campylosira cymbelliformis,Cocconeis euglypta,Cocconeis pediculus,Cocconeis placentula ,Cocconeis scutellum,Coscinodiscus sp 1,Cyclostephanos dubius,Cyclostephanos sp 1,Cyclotella meneghiniana,Cyclotella ocellata,Cyclotella sp 1,Cyclotella striata,Cymatopleura solea,Cymatosira belgica,Cymbella affinis,Cymbella parva,Cymbella tumida,Delphineis minutissima,Delphineis surirella,Denticula sp 1,Denticula subtilis,Diatoma vulgaris,Diploneis aestuari,Diploneis didyma,Diploneis elliptica,Diploneis oblongella,Diploneis smithii,Diploneis sp 1,Diploneis sp 2,Diploneis sp 3,Diploneis weissflogui,Discostella stelligera ,Encyonema prostratum,Encyonema silesiacum,Encyonema ventricosum,Ephitemia adnata,Epithemia sorex,Eunotia cf. implicata,Eunotia sp 1,Fallacia sp 1,Fragilaria bidens,Fragilaria cf. vaucheriae,Frustulia vulgaris,Geissleria decussis,Geissleria sp 1,Gomphoneis minuta/herculeana,Gomphonema aff. pumilum,Gomphonema cf. cuneolis,Gomphonema exilissimum,Gomphonema minutum,Gomphonema olivaceum,Gomphonema parvulum,Gomphonema productum,Gomphonema sp 1,Gomphonema sp 2,Gomphonema sp 3,Gomphonema sp 4,Gomphonema sp 5,Gomphonema sp 6,Grammatophora sp 1,Grammatophora sp 2,Grammatophora sp 3,Grunowia solgensis,Grunowia tabellaria,Gyrosigma cf. acuminatum,Gyrosigma sp 1,Gyrosigma sp 2,Hallamphora bullatoides,Hallamphora montana,Hallamphora sp 1,Hallamphora sp 2,Hallamphora sp 3,Hantzschia amphioxys/abundans,Hantzschia virgata,Hippodonta sp 1,Hyalodiscus sp 1,Karayevia ploenensis,Luticola cf. cohnii,Luticola cf. goeppertiana,Luticola mutica,Luticola sp 1,Luticola sp 2,Melosira varians,Morfoespecie 110,Morfoespecie 263,Morfoespecie 289,Morfoespecie 308,Morfoespecie 31.1,Morfoespecie 316,Morfoespecie 347,Morfoespecie 353,Morfoespecie 377,Morfoespecie 378,Morfoespecie 400,Morfoespecie 402,Morfoespecie 405,Morfoespecie 408,Morfoespecie 414,Morfoespecie 417,Morfoespecie 420,Morfoespecie 425,Morfoespecie 426,Morfoespecie 432,Morfoespecie 436,Morfoespecie 437,Morfoespecie 439,Morfoespecie 443,Morfoespecie 453,Morfoespecie 458,Morfoespecie 468,Morfoespecie 472,Morfoespecie 488,Morfoespecie 504,Morfoespecie 526,Morfoespecie 542,Morfoespecie 547,Morfoespecie 554,Morfoespecie 565,Morfoespecie 572,Morfoespecie 573,Morfoespecie 574,Navicula aff. cryptotenella,Navicula antonii,Navicula capitatoradiata,Navicula cf. polae,Navicula cf. rostellata,Navicula cf. starmachii,Navicula cryptocephala,Navicula gregaria,Navicula libonensis,Navicula neomundana,Navicula peregrina,Navicula simulata,Navicula sp 1,Navicula sp 10,Navicula sp 11,Navicula sp 12,Navicula sp 13,Navicula sp 14,Navicula sp 15,Navicula sp 16,Navicula sp 17,Navicula sp 18,Navicula sp 19,Navicula sp 2,Navicula sp 20,Navicula sp 3,Navicula sp 4,Navicula sp 5,Navicula sp 6,Navicula sp 7,Navicula sp 8,Navicula sp 9,Navicula tenelloides,Navicula tripunctata,Navicula vandamii,Navicula veneta,Neidium affine,Neidium bisulcatum,Nitzschia aff. perindistincta,Nitzschia amphibia,Nitzschia angustatula,Nitzschia brevissima,Nitzschia cf. costei,Nitzschia cf. fonticola,Nitzschia cf. macedonica,Nitzschia cf. palea,Nitzschia cf. pusilla,Nitzschia communis,Nitzschia dissipata,Nitzschia dissipata ssp. oligotraphenta,Nitzschia frustulum var frustulum,Nitzschia inconspicua,Nitzschia invisitata,Nitzschia linearis,Nitzschia microcephala,Nitzschia soratensis,Nitzschia sp 1,Nitzschia sp 10,Nitzschia sp 11,Nitzschia sp 12,Nitzschia sp 13,Nitzschia sp 14,Nitzschia sp 15,Nitzschia sp 16,Nitzschia sp 17,Nitzschia sp 18,Nitzschia sp 19,Nitzschia sp 2,Nitzschia sp 20,Nitzschia sp 21,Nitzschia sp 22,Nitzschia sp 23,Nitzschia sp 24,Nitzschia sp 25,Nitzschia sp 26,Nitzschia sp 27,Nitzschia sp 28,Nitzschia sp 29,Nitzschia sp 3,Nitzschia sp 30,Nitzschia sp 31,Nitzschia sp 32,Nitzschia sp 4,Nitzschia sp 5,Nitzschia sp 6,Nitzschia sp 7,Nitzschia sp 8,Nitzschia sp 9,Nitzschia vermicularis,Odontella longicruris,Odontella sp 1,Odontella sp 2,Opephora sp 1,Paralia sulcata,Paralia sulcata var coronata,Pinnularia borealis,Pinnularia sp 1,Placoneis sp 1,Plagiogrammopsis cf. vanheurckii,Planothidium delicatulum,Planothidium frequentissimum,Planothidium lanceolatum,Planothidium rostratum,Planothidium sp 1,Planothidium sp 2,Planothidium sp 3,Planothidium sp 4,Pleurosigma sp 1,Pleurosira laevis,Podosira stelligera,Pseudopodosira boltovskoyi,Pseudopodosira sp 1,Pseudostaurosira brevistriata,Pseudostaurosira cf. subsalina,Pseudostaurosira parasiticum var. subconstricta,Pseudostaurosira sp 1,Pseudostaurosira sp 2,Pseudostaurosira sp 3,Pseudostaurosira sp 4,Punctastriata lancettula,Reimeria sinuata,Reimeria uniseriata,Rhaphoneis amphiceros,Rhoicosphenia linearis,Rhoicosphenia sp 1,Rhoicosphenia sp 2,Rhopalodia brebissonii,Rhopalodia gibba,Rhopalodia gibberula,Rhopalodia operculata,Rhopalodia sp 1,Rhopalodia sp 2,Rhopalodia sp 3,Rhopalodia sp 4,Rhopalodia sp 5,Sellaphora cf. laevissima,Sellaphora pupula,Sellaphora sp 1,Shionodiscus oestrupii,Staurosira cf. incerta,Staurosira construens,Staurosira contruens var binodis,Staurosira sp 1,Staurosira venter,Staurosira/ Pseudostaurosira,Staurosirella pinnata,Staurosirella sp 1,Staurosirella sp 2,Staurosirella sp 3,Stephanodiscus agassizensis,Surirella angusta,Surirella cf lacrimula,Surirella cf. pinnata,Surirella sp 1,Tetracyclus sp 1,Thalassionema nitzschioides var parva,Thalassionema sp 1,Thalassionema sp 2,Thalassiosira aff. decipiens,Thalassiosira cf. tenera,Thalassiosira eccentrica,Thalassiosira gessneri,Thalassiosira sp 1,Thalassiosira sp 2,Thalassiosira sp 3,Thalassiosira sp 4,Thalassiosira sp 5,Thalassiosira sp 6,Thalassiosira sp 7,Thalassiosira sp 8,Trachyneis aspera,Trigonium alternans,Tryblionella apiculata,Tryblionella cf. coarctata,Tryblionella cf. gracilis,Ulnaria ulna
RN 1,0,0,0,0,0,1,0,1,0,0,0,2,3,1,0,0,0,0,2,4,0,0,0,1,16,0,5,7,0,0,0,0,2,0,1,0,67,0,0,0,35,36,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,1,16,8,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,8,0,0,0,0,1,0,4,1,1,118,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,1,25,27,0,36,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0
RN 2,0,0,0,0,1,1,0,3,0,0,0,3,6,12,0,0,0,0,1,2,0,0,0,1,19,4,1,3,0,0,0,2,1,0,2,0,55,0,0,0,36,20,0,1,0,2,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,31,22,0,0,1,0,0,0,1,3,0,0,0,0,1,0,0,1,0,6,1,0,0,8,0,0,1,2,0,100,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,18,0,40,27,0,6,1,0,8,0,1,2,0,0,0,0,0,2,1,1,4,0,5,0,0,4,0,0,1,0,0,0,0,0,1,1,0,0
RN 3,0,0,0,0,2,0,1,8,0,0,1,3,0,4,0,0,0,0,1,7,0,0,0,1,28,6,2,0,1,0,0,0,0,0,4,0,86,0,0,0,22,14,1,0,2,6,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,32,0,0,0,0,0,0,0,3,0,0,0,0,2,1,2,0,0,3,1,0,0,10,2,0,8,1,2,28,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,17,0,19,27,0,10,2,0,9,0,0,1,0,0,0,0,0,1,0,0,3,2,1,2,0,4,0,1,0,1,1,1,0,0,0,1,1,0
RN 4,0,0,0,0,1,1,0,1,1,1,0,3,3,2,0,0,0,0,1,0,0,0,0,0,24,5,3,0,0,0,0,0,0,4,1,0,57,0,0,0,38,7,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,15,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,17,2,0,0,15,5,0,8,0,4,13,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,12,0,38,95,1,36,12,0,37,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
